 #  ;            identifier             ;typ;       coord1 (ICRS,J2000/2000)        ;   plx    ;  Mag V  
197 ;* 64 And                           ;*  ;02 24 24.9159941400 +50 00 23.555997036;8.0682    ;5.19     
198 ;HD 14221                           ;PM*;02 19 22.6777319784 +48 57 19.657981440;16.6002   ;6.410    
199 ;HD 16780                           ;*  ;02 43 01.8568506264 +48 15 54.878632596;1.8212    ;6.280    
200 ;HD 17656                           ;*  ;02 51 41.7299294160 +46 50 30.990321528;8.4081    ;5.859    
201 ;* kap Per                          ;PM*;03 09 29.8036400506 +44 51 26.849828627;28.7314   ;3.81     
202 ;HD 19736                           ;*  ;03 12 09.5597906904 +42 22 33.276354960;4.5027    ;6.139    
203 ;* 30 Per                           ;SB*;03 17 47.3530021152 +44 01 30.081905148;4.9025    ;5.476    
204 ;* l Per                            ;PM*;03 21 26.5587601200 +43 19 46.743124584;20.9522   ;4.946    
205 ;HD 20063                           ;PM*;03 14 56.5973757696 +42 30 13.082427360;13.1595   ;6.060    
206 ;HD 21684                           ;PM*;03 31 30.3000043824 +40 45 35.815189572;7.711     ;6.49     
207 ;V* IW Per                          ;SB*;03 33 35.0341163808 +39 53 58.116630120;17.7106   ;5.776    
208 ;HD 193322A                         ;SB*;20 18 06.9878053728 +40 43 55.501814100;1.0669    ;5.958    
209 ;HD 194069                          ;SB*;20 22 03.0552303672 +41 07 55.691984064;1.5651    ;6.383    
210 ;HD 193092                          ;V* ;20 16 55.2856987776 +40 21 54.273252420;1.7177    ;5.236    
211 ;HD 193322                          ;** ;20 18 06.98820 +40 43 55.5001          ;1.68      ;5.84     
212 ;HD 193217                          ;*  ;20 17 29.0565341184 +42 43 19.422976620;1.3354    ;6.273    
213 ;* alf Cyg                          ;sg*;20 41 25.91514 +45 16 49.2197          ;2.31      ;1.25     
214 ;HD 198345                          ;*  ;20 47 49.2864749208 +47 49 54.724960056;5.7977    ;5.586    
215 ;HD 198151                          ;** ;20 46 38.5930632264 +46 31 54.084444456;6.7475    ;6.303    
216 ;HD 198237                          ;*  ;20 47 20.7681258888 +45 34 47.763694632;3.1619    ;6.411    
217 ;HD 198625                          ;Em*;20 49 54.6420857112 +46 39 40.812134724;2.3904    ;6.333    
218 ;* 55 Cyg                           ;s*b;20 48 56.2915921440 +46 06 50.883645024;0.5435    ;4.86     
219 ;HD 199612                          ;SB*;20 56 25.8955286856 +49 11 44.992296924;3.3383    ;5.913    
220 ;* f02 Cyg                          ;*  ;21 06 36.0934336570 +47 38 54.252204111;2.5324    ;4.514    
221 ;* f01 Cyg                          ;Be*;20 59 49.5541247496 +47 31 15.363746436;1.4681    ;4.75     
222 ;HD 199478                          ;s*b;20 55 49.8039729168 +47 25 03.564093468;0.3915    ;5.64     
223 ;HD 203245                          ;Pu*;21 19 28.7504447592 +49 30 37.060318296;5.8906    ;5.74     
224 ;HD 203644                          ;PM*;21 22 00.4181510352 +49 23 19.850097156;10.4924   ;5.671    
225 ;HD 204965                          ;*  ;21 30 20.3307128760 +52 57 28.784301300;5.8967    ;6.007    
226 ;HD 207119                          ;*  ;21 45 12.3988928592 +52 16 03.272948976;1.1986    ;6.369    
227 ;* pi.01 Cyg                        ;SB*;21 42 05.6606598980 +51 11 22.659654515;2.2726    ;4.66     
228 ;BD+51 3079                         ;SB*;21 31 27.4695958320 +52 37 11.514326196;2.3865    ;6.180    
229 ;HD 205551                          ;Be*;21 34 27.4633482288 +51 41 54.480749712;2.1850    ;6.163    
230 ;HD 209419                          ;*  ;22 01 50.5866647688 +52 52 56.100144360;2.9856    ;5.776    
231 ;HD 210221                          ;Pu*;22 07 25.5851458248 +53 18 26.773650216;0.4267    ;6.171    
232 ;V* V416 Lac                        ;LP*;22 38 37.9233049091 +56 47 44.277881218;7.2234    ;5.167    
233 ;HD 213930                          ;PM*;22 33 40.6494305424 +56 37 29.055508932;9.4506    ;5.720    
234 ;HD 214279                          ;*  ;22 35 51.9941061576 +56 04 14.069041068;8.9158    ;6.373    
235 ;HD 216174                          ;PM*;22 49 46.3147714872 +55 54 09.996118956;8.2924    ;5.439    
236 ;V* V509 Cas                        ;LP*;23 00 05.1012218544 +56 56 43.350876312;0.2507    ;5.13     
237 ;HD 217673                          ;*  ;23 01 30.7144632384 +57 06 19.657463220;2.3462    ;6.207    
238 ;HD 219134                          ;Er*;23 13 16.9749603608 +57 10 06.083823619;152.8640  ;5.570    
239 ;V* AR Cas                          ;SB*;23 30 01.9406369832 +58 32 56.112185112;4.8857    ;4.886    
240 ;HD 222618                          ;*  ;23 41 54.5625478704 +57 15 35.834024952;3.6751    ;6.220    
241 ;HD 223421                          ;*  ;23 49 11.9247201288 +58 57 47.524932252;12.2795   ;6.355    
242 ;* tau Cas                          ;PM*;23 47 03.4543856136 +58 39 07.167728628;18.7789   ;4.873    
243 ;HD 223173                          ;V* ;23 47 01.9184555184 +57 27 04.892546304;2.0215    ;5.503    
244 ;* rho Cas                          ;LP*;23 54 23.0325302520 +57 29 57.774737400;0.9470    ;4.59     
245 ;V* V373 Cas                        ;SB*;23 55 33.8386958472 +57 24 43.807358448;0.5019    ;6.00     
246 ;HD 123A                            ;PM*;00 06 15.8138660328 +58 26 12.107266800;48.1027   ;6.42     
247 ;* alf Cas                          ;PM*;00 40 30.4430418459 +56 32 14.385181354;14.0910   ;2.23     
248 ;* eta Cas                          ;PM*;00 49 06.2945942922 +57 48 54.638239716;168.8322  ;3.44     
249 ;HD 6497                            ;PM*;01 07 00.1745063280 +56 56 05.898658776;9.7512    ;6.401    
250 ;HD 5343                            ;*  ;00 56 12.9720285072 +57 59 47.610105576;4.8394    ;6.190    
251 ;* tet Cas                          ;PM*;01 11 06.1620929203 +55 08 59.638991981;23.8844   ;4.330    
252 ;* 1 Per                            ;SB*;01 51 59.3200840608 +55 08 50.583693732;2.6944    ;5.52     
253 ;HD 11408                           ;PM*;01 53 48.5145386064 +55 35 51.498505428;13.5140   ;6.437    
254 ;HD 10110                           ;*  ;01 40 13.1009198256 +53 52 05.799499104;4.043     ;6.370    
255 ;HD 13137                           ;PM*;02 10 07.7505345864 +53 50 35.131482816;6.6461    ;6.303    
256 ;HD 13519                           ;*  ;02 13 33.5110408776 +53 03 30.921654888;1.3051    ;6.46     
257 ;* g Per                            ;*  ;02 02 18.1084057296 +54 29 15.145135980;4.0763    ;5.04     
