 #  ;            identifier             ;typ;       coord1 (ICRS,J2000/2000)        ;   plx    ;  Mag V  
1497;HD 22798                           ;PM*;03 39 38.3470730400 -03 23 34.820140164;7.8095    ;6.219    
1498;* 21 Eri                           ;PM*;03 39 01.1165151744 -05 37 34.368381948;28.8891   ;5.96     
1499;* 22 Eri                           ;a2*;03 40 38.3331139440 -05 12 38.555731188;5.2403    ;5.53     
1500;HD 22675                           ;RG*;03 38 29.2528166112 -07 23 30.701131116;8.0227    ;5.849    
1501;HD 22243                           ;*  ;03 34 37.4713793840 -09 52 05.732668974;8.4292    ;6.239    
1502;HD 22409                           ;HB*;03 35 57.6667537200 -11 11 37.626339480;9.8706    ;5.580    
1503;* del Eri                          ;PM*;03 43 14.9005379551 -09 45 48.210955899;110.0254  ;3.54     
1504;HD 22799                           ;HB*;03 39 25.4080473336 -10 26 14.186020020;8.3932    ;6.182    
1505;HD 23281                           ;*  ;03 43 33.8338762320 -10 29 08.365157736;23.7643   ;5.61     
1506;HD 23010                           ;PM*;03 41 13.7968585824 -11 48 08.602969068;10.6433   ;6.485    
1507;HD 22905                           ;SB*;03 40 11.4365991600 -15 13 35.523662700;5.9824    ;6.343    
1508;* 20 Eri                           ;a2*;03 36 17.4041095200 -17 28 01.472307996;8.5009    ;5.23     
1509;* tau05 Eri                        ;SB*;03 33 47.2758917450 -21 37 58.384116886;10.1913   ;4.25     
1510;HD 22333                           ;PM*;03 34 52.4058037248 -25 34 58.176667200;6.8451    ;6.48     
1511;* tau For                          ;*  ;03 38 47.6713450104 -27 56 34.991239704;6.7959    ;6.01     
1512;HD 22262                           ;** ;03 33 56.7916902960 -31 04 48.457560504;23.7697   ;6.20     
1513;HD 22322                           ;*  ;03 34 33.5895074141 -31 52 29.285955392;2.8972    ;6.43     
1514;* del For                          ;Pu*;03 42 14.9025400320 -31 56 18.104191008;3.8528    ;4.973    
1515;* h Eri                            ;HB*;03 42 50.0549075287 -37 18 48.660549379;18.5379   ;4.583    
1516;HD 23301                           ;*  ;03 45 37.0886240208 +38 40 34.542410052;7.4878    ;6.443    
1517;HD 23626                           ;SB*;03 47 49.0193230176 +32 11 43.491193404;16.6608   ;6.252    
1518;HD 24131                           ;*  ;03 51 53.7187356648 +34 21 32.823349956;2.7381    ;5.772    
1519;* n Per                            ;SB*;03 49 32.6836351824 +33 05 28.912464672;9.2759    ;5.11     
1520;HD 24167                           ;*  ;03 52 04.4529496488 +31 10 06.928904856;8.6845    ;6.212    
1521;* zet Per                          ;s*b;03 54 07.9224751 +31 53 01.081262      ;3.8556    ;2.85     
1522;* 18 Tau                           ;PM*;03 45 09.7401340368 +24 50 21.343198416;7.2222    ;5.64     
1523;* q Tau                            ;SB*;03 45 12.4999931614 +24 28 02.185543730;9.5444    ;4.30     
1524;* 21 Tau                           ;PM*;03 45 54.4764507648 +24 33 16.235698248;7.3053    ;5.76     
1525;* 22 Tau                           ;** ;03 46 02.9003257344 +24 31 40.428415632;7.4231    ;6.421    
1526;* 24 Tau                           ;*  ;03 47 21.0386292336 +24 06 58.564163952;7.1999    ;6.28     
1527;* 20 Tau                           ;PM*;03 45 49.6081548365 +24 22 03.877565838;7.6713    ;3.87     
1528;HD 23985                           ;** ;03 50 18.94122 +25 34 45.7479          ;17.71     ;5.234    
1529;HD 24368                           ;V* ;03 53 34.4795222640 +25 40 58.356622524;5.7312    ;6.349    
1530;HD 23712                           ;V* ;03 48 06.5398917624 +24 59 18.297533472;3.64      ;6.49     
1531;* 23 Tau                           ;Be*;03 46 19.5858871361 +23 56 54.092177220;7.0670    ;4.18     
1532;* 27 Tau                           ;SB*;03 49 09.7430578114 +24 03 12.301679809;8.1184    ;3.63     
1533;HD 23753                           ;PM*;03 48 20.8167826752 +23 25 16.495877028;7.6909    ;5.45     
1534;* 26 Tau                           ;PM*;03 48 56.9419001352 +23 51 25.674800292;11.5943   ;6.464    
1535;* 28 Tau                           ;Be*;03 49 11.2165977912 +24 08 12.156712008;7.2414    ;5.09     
1536;HD 23923                           ;*  ;03 49 43.5315887616 +23 42 42.667696476;7.4625    ;6.153    
1537;* eta Tau                          ;Be*;03 47 29.0765529 +24 06 18.488347      ;8.09      ;2.87     
1538;HD 23950                           ;*  ;03 49 55.0695142800 +22 14 38.936066064;7.4144    ;6.070    
1539;HD 24357                           ;PM*;03 53 10.0461915456 +17 19 37.507270260;23.1939   ;5.946    
1540;V* V766 Tau                        ;a2*;03 51 15.8708072234 +13 02 45.875628119;6.1920    ;6.38     
1541;* e Tau                            ;Pu*;03 48 16.2667734169 +11 08 35.876140629;7.3071    ;5.07     
1542;HD 23526                           ;PM*;03 46 09.3636693576 +06 48 12.688793676;8.7323    ;5.922    
1543;* u Tau                            ;SB*;03 45 40.4433670200 +06 02 59.985349222;5.5383    ;5.337    
1544;HD 23887                           ;PM*;03 48 38.9537305296 +00 13 40.298333520;7.1731    ;5.901    
1545;* 32 Eri                           ;** ;03 54 17.50180 -02 57 17.0435          ;10.42     ;4.45     
1546;* 30 Eri                           ;*  ;03 52 41.6487441096 -05 21 40.417862076;4.1736    ;5.475    
1547;* pi. Eri                          ;LP?;03 46 08.5352200200 -12 06 05.718535236;6.3943    ;4.42     
1548;V* DO Eri                          ;a2*;03 55 16.1313315312 -12 05 56.727712752;20.7432   ;6.00     
1549;HD 24497                           ;*  ;03 53 12.9285164232 -18 26 03.976406232;4.0915    ;6.216    
1550;HD 23978                           ;*  ;03 48 35.7035947416 -20 54 10.717710480;3.6463    ;5.801    
1551;* tau07 Eri                        ;Pe*;03 47 39.6500943072 -23 52 28.838866872;12.5218   ;5.235    
1552;* tau06 Eri                        ;PM*;03 46 50.8873186498 -23 14 59.002090709;56.2281   ;4.20     
1553;* tau08 Eri                        ;SB*;03 53 42.7023562560 -24 36 44.021417544;9.9585    ;4.623    
1554;* sig For                          ;*  ;03 46 27.4283567352 -29 20 17.368209528;10.1917   ;5.904    
1555;* rho For                          ;RG*;03 47 56.0403321960 -30 10 04.378048212;11.5326   ;5.54     
1556;* i Eri                            ;Pu*;03 53 38.9473938024 -34 43 56.270304048;9.0016    ;5.092    
1557;HD 23958                           ;*  ;03 47 49.6213383768 -36 06 20.889498348;6.3182    ;6.190    
1558;* g Eri                            ;PM*;03 49 27.2462589689 -36 12 00.924271092;14.9781   ;4.17     
1559;* f Eri                            ;** ;03 48 35.87724 -37 37 12.5415          ;19.71     ;4.27     
1560;* f Eri B                          ;PM*;03 48 35.4776869320 -37 37 19.212410172;18.7976   ;5.25     
1561;HD 24744                           ;** ;03 54 23.1669866112 -40 21 25.220081268;6.179     ;5.705    
1562;HD 24843                           ;PM*;03 58 29.1649999464 +38 50 24.924195132;7.6645    ;6.313    
1563;* eps Per                          ;bC*;03 57 51.2393818140 +40 00 36.719213615;5.3316    ;2.89     
1564;* ksi Per                          ;** ;03 58 57.9024302099 +35 47 27.709515737;2.4457    ;4.060    
1565;HD 25152                           ;*  ;04 01 14.8307127768 +36 59 22.121343888;6.4075    ;6.389    
1566;HD 24640                           ;Ce*;03 56 28.6917914309 +35 04 51.215445412;2.3620    ;5.488    
1567;* psi Tau                          ;PM*;04 07 00.4569539328 +29 00 04.709274660;35.9319   ;5.2      
1568;* 41 Tau                           ;a2*;04 06 36.4125948768 +27 35 59.640149616;8.0667    ;5.172    
1569;HD 24802                           ;*  ;03 57 26.3816729736 +24 27 42.972162840;2.9099    ;6.165    
1570;* 32 Tau                           ;PM*;03 56 52.0771099872 +22 28 40.704869352;22.5957   ;5.617    
1571;* 33 Tau                           ;SB*;03 57 03.8071839408 +23 10 31.951102908;4.3364    ;6.038    
1572;* 36 Tau                           ;SB*;04 04 21.6685905480 +24 06 21.664655676;3.1252    ;5.512    
1573;* 37 Tau                           ;PM*;04 04 41.7128811713 +22 04 54.946823724;17.6194   ;4.37     
1574;* 39 Tau                           ;** ;04 05 20.2580439192 +22 00 32.057399592;59.4728   ;5.90     
1575;HD 25202                           ;PM*;04 00 48.7661952816 +18 11 38.405070420;21.8567   ;5.865    
1576;HD 25175                           ;*  ;04 00 36.8876419032 +17 17 47.972361768;5.4279    ;6.305    
1577;* lam Tau                          ;SB*;04 00 40.8167738514 +12 29 25.239987626;8.0397    ;3.41     
1578;HD 25102                           ;PM*;03 59 40.4960115792 +10 19 49.359946008;24.9459   ;6.340    
1579;HD 25330                           ;** ;04 01 46.1346146632 +09 59 52.859928388;6.4553    ;5.691    
1580;LP 9-524                           ;*  ;03 59 41.5933195584 +10 19 59.464893864;1.9476    ;6.23     
1581;HD 24817                           ;PM*;03 57 01.7179935024 +06 02 23.892877428;12.8012   ;6.072    
1582;* nu. Tau                          ;*  ;04 03 09.3791463041 +05 59 21.482527209;26.4293   ;3.883    
1583;* 40 Tau                           ;** ;04 03 44.6044538328 +05 26 08.225802924;4.5161    ;5.33     
1584;* 35 Eri                           ;*  ;04 01 32.0471006496 -01 32 58.771121676;7.4656    ;5.28     
1585;HD 25457                           ;TT*;04 02 36.7442719512 -00 16 08.119921152;53.4559   ;5.38     
1586;HD 25069                           ;RG*;03 58 52.3939149216 -05 28 11.811149040;21.3926   ;5.833    
1587;HD 25910                           ;*  ;04 05 56.5080839496 -08 51 21.975869772;11.8110   ;6.261    
1588;V* DL Eri                          ;dS*;03 56 37.9331301864 -09 45 03.011005728;8.3339    ;6.177    
1589;* gam Eri                          ;LP?;03 58 01.7658213057 -13 30 30.653301544;17.0016   ;2.94     
1590;HD 24834                           ;V* ;03 56 27.6640692408 -13 35 51.124938504;2.1036    ;6.38     
1591;HD 25165                           ;*  ;03 59 30.1324855752 -12 34 27.928837596;4.9569    ;5.589    
1592;HD 25723                           ;*  ;04 04 22.7156192304 -12 47 32.268481764;8.7061    ;5.611    
1593;HD 25700                           ;PM*;04 04 08.7075707136 -16 35 19.421005812;7.0017    ;6.364    
1594;HD 25631                           ;*  ;04 03 24.7472481504 -20 08 37.665824028;2.6386    ;6.450    
1595;HD 25803                           ;*  ;04 04 40.9023554856 -20 22 54.703427592;6.7025    ;6.111    
1596;HD 25944                           ;*  ;04 05 46.7105160288 -20 30 45.223412904;9.0934    ;6.334    
1597;* tau09 Eri                        ;a2*;03 59 55.4837679360 -24 00 58.377195468;9.9739    ;4.66     
1598;HD 25945                           ;PM*;04 05 37.4359967496 -27 39 06.505757352;22.6594   ;5.59     
1599;HD 25371                           ;*  ;04 00 40.6565216520 -30 29 26.550122604;9.4176    ;5.919    
1600;* f Per                            ;SB*;04 14 53.3324007648 +40 29 01.105360764;4.1967    ;4.691    
1601;HD 26605                           ;PM*;04 13 59.6929663056 +37 58 01.738040556;7.4313    ;6.450    
1602;HD 26702                           ;*  ;04 14 52.0674321096 +37 32 33.618947064;7.8795    ;6.308    
1603;HD 26311                           ;*  ;04 10 59.0241915312 +33 35 12.402840264;4.1206    ;5.74     
1604;* p Tau                            ;dS*;04 10 49.8608447112 +26 28 51.436474392;15.4199   ;5.387    
1605;* 51 Tau                           ;SB*;04 18 23.2109961408 +21 34 45.188971896;19.5053   ;5.631    
1606;* ome02 Tau                        ;PM*;04 17 15.6611264832 +20 34 42.950566164;35.0804   ;4.914    
1607;V* V1137 Tau                       ;a2*;04 12 51.2508054048 +22 24 48.482221392;3.3288    ;6.12     
1608;* ome01 Tau                        ;PM*;04 09 09.9660201816 +19 36 33.181657128;11.2909   ;5.504    
1609;HD 26038                           ;*  ;04 07 59.4169122456 +17 20 23.632332216;7.2518    ;5.94     
1610;HD 26546                           ;PM*;04 12 31.3547173512 +17 16 38.856313632;8.5316    ;6.087    
1611;* 48 Tau                           ;El*;04 15 46.2844734000 +15 24 02.505856392;21.3037   ;6.300    
1612;HD 26171                           ;*  ;04 09 01.5707037000 +13 23 53.813684436;8.2946    ;5.927    
1613;HD 26703                           ;*  ;04 13 49.8380933616 +12 45 13.345753356;8.7148    ;6.25     
1614;HD 26676                           ;*  ;04 13 34.5706402104 +10 12 44.918270316;6.9347    ;6.249    
1615;* mu. Tau                          ;*  ;04 15 32.0568707393 +08 53 32.491567629;6.4463    ;4.279    
1616;* 46 Tau                           ;** ;04 13 33.0904461000 +07 42 58.017467664;26.1562   ;5.29     
1617;HD 26793                           ;*  ;04 14 36.2326070880 +10 00 41.065922196;7.6822    ;5.218    
1618;* 45 Tau                           ;PM*;04 11 20.2822395072 +05 31 22.987999632;26.6345   ;5.699    
1619;HD 26292                           ;PM*;04 09 43.0070191008 +03 19 21.715289400;16.3766   ;6.48     
1620;HD 26739                           ;Em*;04 13 38.1466725144 -01 08 59.056715940;2.9210    ;6.423    
1621;HD 27179                           ;*  ;04 17 19.2218237400 -06 28 19.825900608;4.1611    ;5.932    
1622;* 37 Eri                           ;RG*;04 10 22.5198615504 -06 55 25.866957936;8.9394    ;5.442    
1623;* omi01 Eri                        ;dS*;04 11 51.9390483214 -06 50 15.286647564;26.1097   ;4.026    
1624;HD 26464                           ;HB*;04 10 47.7634129392 -08 49 11.335615176;10.1946   ;5.689    
1625;HD 26584                           ;PM*;04 11 56.1323520024 -08 50 14.871757920;6.9167    ;6.44     
1626;* omi02 Eri                        ;Er*;04 15 16.3196189945 -07 39 10.330779018;199.6080  ;4.43     
1627;* 39 Eri                           ;PM*;04 14 23.6878980552 -10 15 22.620462156;14.1704   ;4.90     
1628;HD 26326                           ;Pu*;04 09 17.8360611792 -16 23 09.080258964;4.9873    ;5.435    
1629;HD 26625                           ;PM*;04 12 00.2717263440 -17 16 29.038252260;8.556     ;6.40     
1630;HD 27411                           ;PM*;04 18 37.4916446424 -22 58 10.995306132;10.9803   ;6.060    
1631;V* GW Eri                          ;SB*;04 11 36.2037143376 -20 21 22.156679988;11.7466   ;5.80     
1632;V* GZ Eri                          ;LP*;04 18 16.0768023720 -20 42 54.932479308;3.2262    ;6.052    
1633;* ups04 Eri                        ;SB*;04 17 53.6624004496 -33 47 54.052408258;18.4002   ;3.56     
1634;HD 26575                           ;*  ;04 10 45.8710071288 -35 16 25.636934100;3.4959    ;6.44     
1635;HD 26927                           ;*  ;04 13 35.7207864840 -40 21 27.943303032;3.1672    ;6.344    
1636;HD 27278                           ;*  ;04 20 14.4256701792 +41 48 29.228025204;7.8889    ;5.958    
1637;* 54 Per                           ;*  ;04 20 24.6379073928 +34 34 00.213397500;14.0327   ;4.929    
1638;HD 27349                           ;*  ;04 20 09.9473712408 +31 57 11.432517336;5.5774    ;6.167    
1639;* 55 Per                           ;*  ;04 24 29.1553459416 +34 07 50.727850608;6.8599    ;5.718    
1640;HD 27971                           ;PM*;04 26 06.3110998032 +31 26 20.069496492;13.6291   ;5.284    
1641;HD 28271                           ;SB*;04 28 51.9945026972 +30 21 41.580029004;14.2009   ;6.383    
1642;* phi Tau                          ;PM*;04 20 21.2160972528 +27 21 02.708298576;11.4462   ;4.951    
1643;* chi Tau                          ;*  ;04 22 34.9437170088 +25 37 45.537575448;11.2029   ;5.378    
1644;* 62 Tau                           ;*  ;04 23 59.7627483096 +24 18 03.527065188;4.7132    ;6.337    
1645;* 56 Tau                           ;a2*;04 19 36.7048893816 +21 46 24.566827836;11.4023   ;5.346    
1646;* 53 Tau                           ;a2*;04 19 26.0975894496 +21 08 32.298968148;11.9300   ;5.482    
1647;* 72 Tau                           ;** ;04 27 17.4508287600 +22 59 46.778201592;7.9390    ;5.514    
